"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "TypeScript", "CSS", "SVG", "wxml", "comment", "blank", "total"
"d:\Code\WeChatProjects\HeartChat\.eslintrc.js", "JavaScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93
"d:\Code\WeChatProjects\HeartChat\.prettierrc.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 28, 0, 72
"d:\Code\WeChatProjects\HeartChat\@docs\使用文档\日志优化方案.md", "Markdown", 0, 83, 0, 0, 0, 0, 0, 0, 0, 35, 118
"d:\Code\WeChatProjects\HeartChat\@docs\使用文档\语音功能使用指南.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 26, 82
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\client.ts", "TypeScript", 0, 0, 0, 0, 133, 0, 0, 0, 6, 21, 160
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\github开源库.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 0, 26, 48
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\iat_ws_nodejs_demo\iat-ws-node.js", "JavaScript", 122, 0, 0, 0, 0, 0, 0, 0, 34, 11, 167
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\iat_ws_nodejs_demo\package.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\角色模拟.md", "Markdown", 0, 42, 0, 0, 0, 0, 0, 0, 0, 34, 76
"d:\Code\WeChatProjects\HeartChat\@docs\参考文档\讯飞语音api文档.md", "Markdown", 0, 64, 0, 0, 0, 0, 0, 0, 0, 55, 119
"d:\Code\WeChatProjects\HeartChat\@docs\开发文档\HeartChat 语音输入功能 (讯飞语音听写) 开发文档.md", "Markdown", 0, 318, 0, 0, 0, 0, 0, 0, 0, 33, 351
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\media\media\image83.svg", "SVG", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\作品报告模板.md", "Markdown", 0, 894, 0, 0, 0, 0, 0, 0, 0, 809, 1703
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\演讲文稿.md", "Markdown", 0, 202, 0, 0, 0, 0, 0, 0, 0, 66, 268
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\演讲文稿1.0.md", "Markdown", 0, 175, 0, 0, 0, 0, 0, 0, 0, 42, 217
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\1.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 12, 30
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\123.md", "Markdown", 0, 167, 0, 0, 0, 0, 0, 0, 0, 65, 232
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\ppt.md", "Markdown", 0, 152, 0, 0, 0, 0, 0, 0, 0, 55, 207
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\项目计划书大纲.md", "Markdown", 0, 97, 0, 0, 0, 0, 0, 0, 0, 41, 138
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\black-background.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 1, 1, 22
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\code_review_report.md", "Markdown", 0, 3516, 0, 0, 0, 0, 0, 0, 0, 682, 4198
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\code_review_todolist.md", "Markdown", 0, 152, 0, 0, 0, 0, 0, 0, 0, 19, 171
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\database_design.md", "Markdown", 0, 208, 0, 0, 0, 0, 0, 0, 0, 42, 250
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\Cursor长期记忆.md", "Markdown", 0, 1076, 0, 0, 0, 0, 0, 0, 0, 568, 1644
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\TODO.md", "Markdown", 0, 51, 0, 0, 0, 0, 0, 0, 0, 13, 64
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\database_export-O_QEzebWwbqt.json", "JSON", 0, 0, 5637, 0, 0, 0, 0, 0, 0, 0, 5637
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\cloudfunctions\cloud_function.md", "Markdown", 0, 338, 0, 0, 0, 0, 0, 0, 0, 73, 411
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\cloudfunctions\db_schema.md", "Markdown", 0, 331, 0, 0, 0, 0, 0, 0, 0, 89, 420
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\component_template.md", "Markdown", 0, 598, 0, 0, 0, 0, 0, 0, 0, 97, 695
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\page_template.md", "Markdown", 0, 415, 0, 0, 0, 0, 0, 0, 0, 79, 494
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\util_function.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\userInterests.json", "JSON", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 40
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\云函数整合与优化建议.md", "Markdown", 0, 67, 0, 0, 0, 0, 0, 0, 0, 32, 99
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@HeartChat项目开发总结.md", "Markdown", 0, 272, 0, 0, 0, 0, 0, 0, 0, 93, 365
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@聊天功能开发计划.md", "Markdown", 0, 153, 0, 0, 0, 0, 0, 0, 0, 37, 190
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@聊天消息分段输出计划.md", "Markdown", 0, 294, 0, 0, 0, 0, 0, 0, 0, 67, 361
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\ECharts组件使用指南.md", "Markdown", 0, 458, 0, 0, 0, 0, 0, 0, 0, 77, 535
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\Tab页修改说明.md", "Markdown", 0, 120, 0, 0, 0, 0, 0, 0, 0, 33, 153
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\emotion云函数使用文档.md", "Markdown", 0, 218, 0, 0, 0, 0, 0, 0, 0, 50, 268
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\httpRequest云函数使用文档.md", "Markdown", 0, 219, 0, 0, 0, 0, 0, 0, 0, 51, 270
"d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\roles云函数使用文档.md", "Markdown", 0, 562, 0, 0, 0, 0, 0, 0, 0, 132, 694
