Date : 2025-05-07 17:00:21
Directory : d:\Code\WeChatProjects\HeartChat
Total : 344 files,  83278 codes, 6152 comments, 15840 blanks, all 105270 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Markdown   |        120 |     33,968 |          0 |      9,121 |     43,089 |
| JavaScript |         85 |     22,000 |      5,449 |      3,806 |     31,255 |
| HTML       |         23 |     10,345 |         92 |      1,179 |     11,616 |
| CSS        |         32 |      7,365 |        363 |      1,364 |      9,092 |
| JSON       |         49 |      6,326 |          0 |         47 |      6,373 |
| wxml       |         26 |      2,299 |        229 |        252 |      2,780 |
| SVG        |          4 |        708 |          0 |         32 |        740 |
| TypeScript |          5 |        267 |         19 |         39 |        325 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                      | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                         |        344 |     83,278 |      6,152 |     15,840 |    105,270 |
| . (Files)                                                                                                 |         10 |      2,659 |         28 |        600 |      3,287 |
| @docs                                                                                                     |        146 |     48,980 |        173 |      9,799 |     58,952 |
| @docs\使用文档                                                                                                |          2 |        139 |          0 |         61 |        200 |
| @docs\参考文档                                                                                                |          6 |        399 |         40 |        148 |        587 |
| @docs\参考文档 (Files)                                                                                        |          4 |        261 |          6 |        136 |        403 |
| @docs\参考文档\iat_ws_nodejs_demo                                                                             |          2 |        138 |         34 |         12 |        184 |
| @docs\开发文档                                                                                                |          1 |        318 |          0 |         33 |        351 |
| @docs\设计文档                                                                                                |        137 |     48,124 |        133 |      9,557 |     57,814 |
| @docs\设计文档 (Files)                                                                                        |          7 |      4,676 |          1 |        910 |      5,587 |
| @docs\设计文档\1                                                                                              |          4 |      1,272 |          0 |        918 |      2,190 |
| @docs\设计文档\1 (Files)                                                                                      |          3 |      1,271 |          0 |        917 |      2,188 |
